"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2023","7.000","6.940","7.375","6.870","3.93M","2.19%"
"12/05/2023","6.850","7.000","7.279","6.780","3.81M","-2.97%"
"12/04/2023","7.060","7.910","7.920","6.960","6.38M","-9.95%"
"12/01/2023","7.840","8.150","8.200","7.590","5.53M","-7.22%"
"11/30/2023","8.450","8.680","9.300","8.270","19.40M","11.77%"
"11/29/2023","7.560","7.130","7.580","6.910","6.55M","8.15%"
"11/28/2023","6.990","6.650","7.135","6.550","5.05M","5.43%"
"11/27/2023","6.630","6.460","6.870","6.100","5.16M","1.07%"
"11/24/2023","6.560","6.180","6.730","6.180","4.51M","6.15%"
"11/22/2023","6.180","6.500","6.580","6.140","7.04M","3.17%"
"11/21/2023","5.990","5.710","6.340","5.540","8.11M","11.75%"
"11/20/2023","5.360","5.480","5.500","5.330","2.67M","-0.92%"
"11/17/2023","5.410","5.690","5.708","5.300","3.32M","-5.91%"
"11/16/2023","5.750","6.060","6.110","5.610","2.81M","-6.81%"
"11/15/2023","6.170","6.200","6.360","5.980","2.58M","-0.32%"
"11/14/2023","6.190","6.110","6.225","5.890","2.45M","4.92%"
"11/13/2023","5.900","6.070","6.070","5.750","2.39M","-2.80%"
"11/10/2023","6.070","6.370","6.620","5.770","3.54M","-6.47%"
"11/09/2023","6.490","7.330","7.340","6.260","4.85M","-10.48%"
"11/08/2023","7.250","6.250","7.280","6.140","6.56M","17.69%"
"11/07/2023","6.160","6.070","6.310","5.780","2.03M","0.41%"
"11/06/2023","6.135","6.170","6.260","5.640","3.41M","3.28%"
"11/03/2023","5.940","5.700","5.970","5.610","3.13M","6.07%"
"11/02/2023","5.600","5.470","5.670","5.315","2.38M","5.07%"
"11/01/2023","5.330","5.320","5.450","5.005","2.82M","-1.84%"
"10/31/2023","5.430","5.280","5.550","5.242","1.35M","1.88%"
"10/30/2023","5.330","5.370","5.490","5.200","1.38M","0.19%"
"10/27/2023","5.320","5.550","5.830","5.240","1.87M","-3.45%"
"10/26/2023","5.510","5.200","5.640","4.950","3.84M","5.76%"
"10/25/2023","5.210","4.910","5.440","4.590","6.23M","5.68%"
"10/24/2023","4.930","4.820","4.930","4.640","3.20M","2.71%"
"10/23/2023","4.800","5.290","5.310","4.650","6.50M","-10.78%"
"10/20/2023","5.380","5.570","5.660","5.250","4.75M","-5.45%"
"10/19/2023","5.690","5.970","6.100","5.610","3.69M","-4.69%"
"10/18/2023","5.970","6.290","6.330","5.810","5.52M","-7.59%"
"10/17/2023","6.460","6.370","6.840","6.240","6.43M","-1.07%"
"10/16/2023","6.530","7.980","8.080","6.300","9.60M","-18.17%"
"10/13/2023","7.980","7.840","8.440","7.780","4.15M","0.00%"
"10/12/2023","7.980","8.020","8.040","7.620","3.22M","-1.72%"
"10/11/2023","8.120","7.670","8.230","7.480","4.34M","8.41%"
"10/10/2023","7.490","7.280","7.610","7.010","3.87M","3.60%"
"10/09/2023","7.230","7.960","7.970","7.230","3.68M","-9.96%"
"10/06/2023","8.030","8.080","8.280","7.650","3.52M","-5.53%"
"10/05/2023","8.500","8.900","9.300","8.060","8.88M","5.59%"
"10/04/2023","8.050","9.370","9.370","7.980","5.69M","-13.72%"
"10/03/2023","9.330","9.040","9.640","9.000","3.26M","-4.80%"
"10/02/2023","9.800","11.110","11.794","9.720","6.85M","-21.60%"
"09/29/2023","12.500","12.210","13.610","12.000","4.67M","-0.48%"
"09/28/2023","12.560","11.110","12.890","10.640","5.06M","11.94%"
"09/27/2023","11.220","12.610","12.740","11.080","3.06M","-12.89%"
"09/26/2023","12.880","13.900","13.980","12.800","2.28M","-8.00%"
"09/25/2023","14.000","15.050","15.210","13.620","2.35M","-10.43%"
"09/22/2023","15.630","16.380","16.400","15.010","2.25M","-0.76%"
"09/21/2023","15.750","16.890","17.153","15.164","3.29M","-8.38%"
"09/20/2023","17.190","17.650","17.840","17.190","1.39M","-3.43%"
"09/19/2023","17.800","17.140","18.100","17.030","2.48M","2.77%"
"09/18/2023","17.320","17.130","18.450","16.890","2.86M","-1.20%"
"09/15/2023","17.530","16.500","17.880","16.500","3.83M","4.04%"
"09/14/2023","16.850","16.990","17.240","16.525","2.11M","-2.09%"
"09/13/2023","17.210","17.200","17.480","16.430","3.04M","0.00%"
"09/12/2023","17.210","16.490","18.330","15.450","7.68M","3.86%"
"09/11/2023","16.570","16.000","17.050","15.330","7.69M","-3.38%"
"09/08/2023","17.150","19.480","19.490","16.330","8.57M","-4.67%"
"09/07/2023","17.990","22.000","23.002","17.600","9.92M","-26.57%"
"09/06/2023","24.500","26.700","27.200","24.470","5.61M","-6.24%"
"09/05/2023","26.130","26.610","30.620","26.020","6.31M","-11.41%"
"09/01/2023","29.495","32.520","34.340","26.262","7.39M","-15.02%"
"08/31/2023","34.710","44.300","44.400","33.560","6.50M","-15.90%"
"08/30/2023","41.270","53.400","57.500","37.500","10.80M","-10.77%"
"08/29/2023","46.250","74.520","76.930","46.000","10.79M","-43.84%"
"08/28/2023","82.350","84.000","93.000","75.920","12.78M","19.75%"
"08/25/2023","68.770","55.200","73.900","55.030","15.28M","40.35%"
"08/24/2023","49.000","38.700","57.800","37.370","12.92M","32.33%"
"08/23/2023","37.030","30.170","45.000","29.820","8.27M","0.84%"
"08/22/2023","36.720","19.000","46.980","18.800","19.41M","108.87%"
"08/21/2023","17.580","16.780","18.890","16.000","2.13M","14.16%"
"08/18/2023","15.400","19.640","19.677","11.610","2.99M","-23.00%"
"08/17/2023","20.000","27.860","29.360","19.880","1.83M","-33.58%"
"08/16/2023","30.110","26.500","30.550","24.163","3.11M","-18.75%"
"08/15/2023","37.060","22.000","38.778","16.000","6.89M","254.64%"
"08/14/2023","10.450","11.100","11.760","9.110","482.27K","-29.49%"
